payment_type,actual_shipping_days,scheduled_shipping_days,benefit_per_order,sales_per_customer,delivery_status,late_delivery_risk,category_id,category_name,customer_segment,department_name,market,order_city,order_country,order_date,order_id,order_item_discount,order_item_discount_rate,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_item_total,order_profit_per_order,order_region,order_state,order_status,product_category_id,product_name,product_price,shipping_date,shipping_mode,order_month,shipping_variance_days,profit_margin_pct,is_late
PAYMENT,2,4,-607.5700073,391.980011,Advance shipping,0,45,Fishing,Corporate,Fan Shop,Europe,Milan,Italia,2017-09-23 07:00:00,68251,8.0,0.02,399.980011,-1.549999952,1,399.980011,391.980011,-607.5700073,Southern Europe,Lombardía,PENDING_PAYMENT,45,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,2017-09-25 07:00:00,Standard Class,2017-09,-2,-155.000252627678,0
PAYMENT,5,2,48.63000107,113.0899963,Late delivery,1,18,Men's Footwear,Consumer,Apparel,USCA,Lawrence,Estados Unidos,2016-07-23 04:59:00,38994,16.89999962,0.129999995,129.9900055,0.430000007,1,129.9900055,113.0899963,48.63000107,East of USA,Massachusetts,PENDING_PAYMENT,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,2016-07-28 04:59:00,Second Class,2016-07,3,43.00115187995633,1
DEBIT,4,4,30.04999924,96.0,Shipping on time,0,24,Women's Apparel,Consumer,Golf,Europe,Plymouth,Reino Unido,2017-09-30 09:37:00,68738,4.0,0.039999999,50.0,0.310000002,2,100.0,96.0,30.04999924,Northern Europe,Inglaterra,COMPLETE,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,2017-10-04 09:37:00,Standard Class,2017-09,0,31.302082541666664,0
TRANSFER,6,2,35.43000031,472.4500122,Late delivery,1,9,Cardio Equipment,Home Office,Footwear,USCA,Toronto,Canada,2016-09-21 03:29:00,43100,27.5,0.059999999,99.98999786,0.079999998,5,499.9500122,472.4500122,35.43000031,Canada,Ontario,PENDING,9,Nike Men's Free 5.0+ Running Shoe,99.98999786,2016-09-27 03:29:00,Second Class,2016-09,4,7.49920613717787,1
DEBIT,6,4,35.99000168,299.9500122,Late delivery,1,17,Cleats,Consumer,Apparel,Pacific Asia,Delhi,India,2016-02-03 01:32:00,27270,0.0,0.0,59.99000168,0.119999997,5,299.9500122,299.9500122,35.99000168,South Asia,Delhi,COMPLETE,17,Perfect Fitness Perfect Rip Deck,59.99000168,2016-02-09 01:32:00,Standard Class,2016-02,2,11.998666516473639,1
DEBIT,4,4,24.60000038,327.980011,Shipping on time,0,45,Fishing,Home Office,Fan Shop,LATAM,Santo Domingo,República Dominicana,2017-03-31 06:33:00,56193,72.0,0.180000007,399.980011,0.079999998,1,399.980011,327.980011,24.60000038,Caribbean,Santo Domingo,COMPLETE,45,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,2017-04-04 06:33:00,Standard Class,2017-03,0,7.50045720926572,0
TRANSFER,4,4,-59.40000153,263.980011,Shipping on time,0,43,Camping & Hiking,Corporate,Fan Shop,Europe,Maisons-Alfort,Francia,2015-10-18 07:18:00,19888,36.0,0.119999997,299.980011,-0.230000004,1,299.980011,263.980011,-59.40000153,Western Europe,Isla de Francia,PROCESSING,43,Diamondback Women's Serene Classic Comfort Bi,299.980011,2015-10-22 07:18:00,Standard Class,2015-10,0,-22.501704316543876,0
DEBIT,5,2,60.0,159.9900055,Late delivery,1,48,Water Sports,Consumer,Fan Shop,Africa,Batna,Argelia,2016-11-02 12:54:00,46004,40.0,0.200000003,199.9900055,0.379999995,1,199.9900055,159.9900055,60.0,North Africa,Batna,COMPLETE,48,Pelican Sunstream 100 Kayak,199.9900055,2016-11-07 12:54:00,Second Class,2016-11,3,37.50234260726993,1
PAYMENT,0,0,96.04000092,195.9900055,Shipping on time,0,48,Water Sports,Home Office,Fan Shop,Europe,Muret,Francia,2015-06-11 11:30:00,11063,4.0,0.02,199.9900055,0.49000001,1,199.9900055,195.9900055,96.04000092,Western Europe,Languedoc-Rosellón-Mediodía-Pirineos,PAYMENT_REVIEW,48,Pelican Sunstream 100 Kayak,199.9900055,2015-06-11 23:30:00,Same Day,2015-06,0,49.00249922182894,0
DEBIT,1,0,20.36000061,113.0899963,Late delivery,1,18,Men's Footwear,Corporate,Apparel,Europe,Salzburgo,Austria,2017-09-14 15:57:00,67660,16.89999962,0.129999995,129.9900055,0.180000007,1,129.9900055,113.0899963,20.36000061,Western Europe,Salzburgo,COMPLETE,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,2017-09-15 03:57:00,Same Day,2017-09,1,18.003361284043123,1
